Palavra;Documentos
managing;['00450 ']
maneuvers;['00801 ']
manganese;['01158 ', '01158 ']
manifest;['00060 ', '00164 ', '00285', '00297', '00392 ', '00483 ', '00517 ', '00559 ', '00617 ', '00617 ']
manifestation;['00322', '00322', '00333', '00485 ', '00872 ', '01066 ', '01108 ']
manifestations;['00083 ', '00096 ', '00331', '00333', '00352', '00359 ', '00370 ', '00370 ', '00373 ', '00392 ', '00398 ', '00443 ', '00443 ', '00505 ', '00582 ', '00643 ', '00658 ', '00798 ', '00822 ', '00822 ', '00822 ', '00822 ', '00875 ', '00882 ', '00997 ', '01156 ']
manifested;['00477 ', '01139 ']
manifests;['00239', '00325']
manifold;['01157 ', '01181 ']
manipulation;['01088 ', '01223 ']
manner;['00147 ', '01105 ', '01117 ', '01156 ']
mannosidase;['01072 ', '01127 ', '01127 ', '01137 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ', '01139 ']
manual;['01138 ']
manufacturer;['00102 ']
many;['00030 ', '00037 ', '00067 ', '00076 ', '00088 ', '00104 ', '00120 ', '00146 ', '00147 ', '00189', '00203', '00215', '00278', '00297', '00315', '00332', '00333', '00351', '00352', '00360 ', '00370 ', '00392 ', '00398 ', '00398 ', '00438 ', '00438 ', '00440 ', '00441 ', '00450 ', '00487 ', '00492 ', '00492 ', '00534 ', '00559 ', '00601 ', '00607 ', '00607 ', '00704 ', '00714 ', '00768 ', '00824 ', '00837 ', '00838 ', '00911 ', '00942 ', '00944 ', '01122 ', '01136 ', '01138 ', '01156 ', '01175 ', '01175 ', '01179 ', '01179 ', '01182 ']
maple;['01088 ']
marasmus;['00109 ']
margin;['01065 ']
marine;['00270']
marked;['00033 ', '00056 ', '00103 ', '00126 ', '00384 ', '00397 ', '00724 ', '00942 ', '00985 ', '01167 ']
markedly;['00180', '00185', '00559 ', '00881 ', '00902 ', '01180 ']
marker;['00726 ', '00949 ', '00954 ', '01136 ']
markers;['01096 ', '01211 ']
marketed;['00492 ']
marred;['00507 ', '00838 ']
married;['00470 ', '00559 ']
marrow;['00098 ', '00098 ', '00648 ', '00648 ']
mass;['00016 ', '00095 ', '00120 ', '00120 ', '00468 ', '00518 ', '00818 ', '00818 ', '01037 ']
masses;['00478 ']
massive;['00112 ', '00112 ', '00288', '00468 ', '00773 ', '01170 ']
matched;['00118 ', '00284', '00397 ', '00508 ', '01162 ', '01185 ']
material;['00106 ', '00106 ', '00106 ', '00106 ', '00106 ', '00430 ', '00430 ', '00716 ', '01193 ', '01236 ']
maternal;['00014 ', '00360 ', '00485 ', '01130 ', '01130 ']
materno;['00071 ']
matter;['00101 ', '00216', '00605 ']
maturation;['00136 ', '01113 ']
mature;['01004 ']
maxillary;['00250']
maxim;['00060 ']
maximal;['01039 ', '01181 ']
maximally;['01044 ']
maximum;['00090 ', '00185']
may;['00014 ', '00016 ', '00018 ', '00034 ', '00034 ', '00034 ', '00039 ', '00046 ', '00046 ', '00060 ', '00060 ', '00077 ', '00077 ', '00083 ', '00088 ', '00103 ', '00110 ', '00111 ', '00115 ', '00121 ', '00125 ', '00125 ', '00126 ', '00126 ', '00126 ', '00126 ', '00135 ', '00135 ', '00162 ', '00169', '00197', '00201', '00206', '00206', '00206', '00206', '00208', '00215', '00216', '00216', '00216', '00219', '00220', '00250', '00272', '00278', '00281', '00281', '00288', '00291', '00294', '00299', '00299', '00327', '00327', '00331', '00343', '00343', '00360 ', '00373 ', '00377 ', '00377 ', '00392 ', '00392 ', '00397 ', '00397 ', '00430 ', '00430 ', '00431 ', '00431 ', '00438 ', '00440 ', '00441 ', '00441 ', '00442 ', '00442 ', '00446 ', '00449 ', '00456 ', '00470 ', '00476 ', '00476 ', '00478 ', '00482 ', '00484 ', '00484 ', '00485 ', '00492 ', '00496 ', '00508 ', '00508 ', '00508 ', '00508 ', '00511 ', '00517 ', '00517 ', '00517 ', '00529 ', '00534 ', '00538 ', '00545 ', '00559 ', '00559 ', '00592 ', '00592 ', '00593 ', '00593 ', '00605 ', '00617 ', '00617 ', '00617 ', '00643 ', '00644 ', '00644 ', '00644 ', '00670 ', '00693 ', '00693 ', '00694 ', '00697 ', '00726 ', '00736 ', '00756 ', '00767 ', '00767 ', '00768 ', '00773 ', '00773 ', '00797 ', '00797 ', '00798 ', '00798 ', '00798 ', '00798 ', '00798 ', '00798 ', '00798 ', '00822 ', '00822 ', '00837 ', '00837 ', '00838 ', '00843 ', '00844 ', '00844 ', '00856 ', '00860 ', '00860 ', '00860 ', '00860 ', '00860 ', '00860 ', '00860 ', '00875 ', '00891 ', '00902 ', '00902 ', '00919 ', '00919 ', '00922 ', '00923 ', '00925 ', '00925 ', '00926 ', '00926 ', '00926 ', '00944 ', '00949 ', '00985 ', '00991 ', '01001 ', '01037 ', '01099 ', '01100 ', '01103 ', '01103 ', '01105 ', '01131 ', '01136 ', '01160 ', '01162 ', '01164', '01169 ', '01169 ', '01170 ', '01171 ', '01172 ', '01174 ', '01175 ', '01176 ', '01183 ', '01183 ', '01183 ', '01195 ', '01220 ', '01224 ', '01238 ', '01238 ', '01238 ', '01238 ']
me;['00019 ', '00206', '00315']
meal;['01098 ']
meals;['00487 ', '01037 ']
mean;['00038 ', '00056 ', '00106 ', '00107 ', '00107 ', '00118 ', '00219', '00219', '00284', '00284', '00507 ', '00525 ', '00658 ', '00658 ', '00689 ', '00931 ', '00931 ', '01100 ', '01108 ', '01129 ', '01129 ', '01134 ', '01162 ', '01162 ', '01206 ', '01206 ']
meaningful;['00084 ', '00279']
meaningfully;['00284']
means;['00033 ', '00063 ', '00071 ', '00111 ', '00120 ', '00270', '00299', '00502 ', '00511 ', '00542 ', '00627 ', '00732 ', '00911 ', '00911 ', '01001 ', '01130 ', '01220 ']
measurable;['00033 ']
measure;['00077 ', '00125 ', '00446 ', '00502 ', '00767 ', '00997 ', '00997 ']
measured;['00030 ', '00102 ', '00115 ', '00147 ', '00173', '00180', '00222', '00277', '00278', '00502 ', '00502 ', '00714 ', '00931 ', '01128 ', '01131 ', '01131 ', '01131 ', '01132 ', '01135 ', '01139 ', '01185 ']
measurement;['00268', '00627 ', '00719 ', '00755 ', '01028 ', '01108 ']
measurements;['00147 ', '00268', '00450 ', '00502 ', '00658 ', '00811 ', '00811 ', '00843 ', '01099 ']
measures;['00331', '00333', '00517 ', '00762 ', '00767 ', '01151 ', '01234 ']
measuring;['00038 ', '00077 ', '00173', '00270', '00277', '00293', '00502 ', '00644 ', '00930 ', '01131 ']
mec;['01176 ']
mechanical;['01138 ', '01152 ']
mechanics;['01039 ']
mechanism;['00046 ', '00125 ', '00162 ', '00165 ', '00165 ', '00201', '00201', '00270', '00434 ', '00484 ', '00501 ', '00502 ', '00505 ', '00601 ', '00966 ', '00985 ', '01099 ', '01099 ', '01099 ', '01099 ', '01153 ', '01175 ', '01185 ', '01224 ']
mechanisms;['00046 ', '00046 ', '00215', '00299', '00370 ', '00373 ', '00432 ', '00432 ', '00440 ', '00442 ', '00511 ', '00517 ', '00545 ', '00590 ', '00590 ', '00617 ', '00716 ', '00875 ', '01079 ', '01170 ']
meconia;['00071 ']
meconium;['00033 ', '00033 ', '00033 ', '00037 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00071 ', '00096 ', '00096 ', '00096 ', '00280', '00280', '00280', '00301', '00322', '00331', '00333', '00333', '00470 ', '00470 ', '00470 ', '00470 ', '00482 ', '00482 ', '00482 ', '00482 ', '00482 ', '00483 ', '00483 ', '00483 ', '00483 ', '00483 ', '00483 ', '00489 ', '00492 ', '00518 ', '00518 ', '00627 ', '00644 ', '00697 ', '00697 ', '00697 ', '00697 ', '00713 ', '00713 ', '00713 ', '00798 ', '00798 ', '00798 ', '00798 ', '00798 ', '00801 ', '00818 ', '00835 ', '00835 ', '00835 ', '00835 ', '00835 ', '00875 ', '00930 ', '00991 ', '00991 ', '00991 ', '00991 ', '01028 ', '01028 ', '01028 ', '01174 ', '01174 ', '01176 ', '01176 ', '01178 ', '01184 ']
meconiums;['00482 ']
media;['00058 ', '00718 ', '01044 ', '01044 ']
median;['00185']
mediated;['00279', '00694 ', '01157 ', '01163 ', '01171 ']
medical;['00153 ', '00203', '00203', '00203', '00203', '00389 ', '00392 ', '00450 ', '00476 ', '00489 ', '00559 ', '00559 ', '00581 ', '00649 ', '00704 ', '00730 ', '00911 ', '00944 ', '01123 ', '01220 ']
medication;['00438 ', '00818 ', '00818 ', '01099 ']
medications;['00315', '00326', '00518 ']
medicine;['00315', '00360 ', '00944 ', '00944 ']
medicogenetic;['00162 ']
medium;['00101 ', '00106 ', '00106 ', '00121 ', '00212', '00300', '00443 ', '00484 ', '00484 ', '00504 ', '01044 ', '01157 ', '01236 ']
meet;['00281']
meets;['01123 ']
mellitus;['00136 ', '00153 ', '00332', '00719 ', '00931 ']
member;['00153 ', '00730 ', '01096 ']
members;['00162 ', '00239', '00628 ', '00937 ', '00938 ', '01132 ', '01132 ']
membrane;['00126 ', '00135 ', '00278', '00278', '00281', '00286', '00286', '00287', '00343', '00430 ', '00434 ', '00484 ', '00484 ', '00484 ', '00484 ', '00490 ', '00504 ', '00538 ', '00570 ', '00570 ', '00570 ', '00711 ', '00755 ', '00860 ']
membranes;['00278', '00278', '00278', '00504 ', '00538 ', '01173 ']
men;['00107 ', '00107 ', '00107 ', '00107 ', '00107 ']
menstrual;['00436 ', '00436 ']
mention;['00019 ', '00494 ', '00773 ']
mentioned;['00121 ', '00196', '00203', '00694 ', '00808 ', '00902 ', '00902 ']
merely;['00250', '00811 ', '01066 ']
merit;['00494 ', '00811 ']
mesonephric;['00352']
metabolic;['00067 ', '00067 ', '00076 ', '00120 ', '00120 ', '00126 ', '00126 ', '00197', '00197', '00197', '00283', '00283', '00288', '00435 ', '00440 ', '00538 ', '00545 ', '00545 ', '00545 ', '00559 ', '00570 ', '00781 ', '00928 ', '00997 ', '00997 ', '00997 ', '01156 ', '01156 ', '01158 ', '01184 ', '01219 ', '01219 ']
metabolise;['01088 ']
metabolism;['00014 ', '00014 ', '00014 ', '00014 ', '00014 ', '00014 ', '00014 ', '00072 ', '00165 ', '00197', '00278', '00283', '00360 ', '00360 ', '00360 ', '00373 ', '00440 ', '00443 ', '00495 ', '00511 ', '00538 ', '00581 ', '00601 ', '00856 ', '00856 ', '00856 ', '00919 ', '00919 ', '00949 ', '01088 ', '01088 ', '01088 ', '01088 ', '01088 ', '01088 ', '01130 ']
metabolites;['00570 ', '00835 ', '01108 ', '01108 ']
metachromasia;['00067 ', '00083 ', '00083 ', '00083 ', '00083 ', '00121 ', '00242', '00242', '00242', '00242', '00244', '00244', '00244', '00244', '00325', '00392 ', '00415 ', '00504 ']
metachromatic;['00242', '00244', '00415 ']
metaphyseal;['00643 ']
methacholine;['01099 ']
methionine;['00494 ']
method;['00038 ', '00038 ', '00038 ', '00038 ', '00083 ', '00112 ', '00146 ', '00219', '00268', '00270', '00280', '00294', '00392 ', '00482 ', '00494 ', '00503 ', '00534 ', '00534 ', '00740 ', '00740 ', '00773 ', '00773 ', '00773 ', '00773 ', '00818 ', '00824 ', '00846 ', '00930 ', '00930 ', '00937 ', '00949 ', '00962 ', '01028 ', '01066 ', '01131 ', '01153 ', '01167 ', '01174 ', '01193 ', '01193 ']
methodologic;['00740 ']
methodological;['01182 ']
methodology;['00072 ', '00165 ']
methods;['00014 ', '00014 ', '00033 ', '00120 ', '00222', '00280', '00282', '00431 ', '00439 ', '00445 ', '00483 ', '00529 ', '00534 ', '00818 ', '00949 ', '01146 ', '01156 ']
methylases;['00494 ']
methylation;['00436 ', '00504 ']
methylcoumarinyl;['01140 ']
methylumbelliferyl;['01068 ', '01130 ', '01136 ', '01140 ']
mg;['00071 ', '00071 ', '00238', '00238', '00397 ', '00694 ', '00694 ', '01028 ', '01028 ', '01174 ', '01180 ']
microbiologist;['00331']
microfilaments;['00435 ']
microg;['00219', '00219', '00291']
micromol;['01162 ', '01162 ']
microorganisms;['00922 ']
microscopic;['00582 ']
microscopically;['00281']
microscopy;['01175 ']
microsomal;['01185 ']
microtubular;['00201', '00484 ']
microtubules;['00201', '00435 ']
mid;['00392 ', '01031 ', '01039 ']
middle;['00056 ']
midgut;['00801 ']
might;['00060 ', '00083 ', '00091 ', '00104 ', '00107 ', '00109 ', '00116 ', '00126 ', '00147 ', '00163 ', '00173', '00203', '00216', '00280', '00281', '00315', '00315', '00389 ', '00435 ', '00445 ', '00445 ', '00501 ', '00501 ', '00505 ', '00525 ', '00615 ', '00718 ', '00767 ', '00811 ', '00818 ', '00818 ', '00925 ', '01097 ', '01099 ', '01103 ', '01131 ', '01157 ', '01175 ', '01177 ', '01224 ']
migrate;['00643 ']
migration;['00397 ', '00397 ']
migrations;['00617 ']
mild;['00102 ', '00102 ', '00196', '00213', '00250', '00370 ', '00377 ', '00687 ', '00714 ', '00714 ', '00822 ', '00962 ', '01131 ', '01169 ']
mildly;['00102 ', '00212']
mildness;['00377 ']
milk;['00034 ', '00456 ', '00714 ', '00714 ', '00714 ', '00756 ', '00756 ']
million;['00617 ']
mimics;['01044 ']
min;['00294', '00294', '01210 ']
mind;['00395 ', '01175 ']
mineral;['00991 ', '01193 ']
minerals;['00212']
minimal;['00119 ', '00294', '00370 ', '00511 ', '00658 ', '00824 ']
minimizes;['00359 ']
minimum;['00215', '00451 ', '00693 ', '00898 ']
minor;['00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00077 ', '00208', '00278', '00286', '00507 ', '00768 ']
minute;['00277']
minutes;['00103 ', '00103 ', '00103 ', '00105 ', '00109 ', '00116 ', '00147 ', '00277', '00773 ', '00903 ']
mirror;['00267']
miscellaneous;['00014 ', '01234 ']
mischief;['00925 ']
misinterpreted;['01206 ']
misleading;['00206']
misplacement;['00643 ']
miss;['00518 ']
missed;['01036 ']
missing;['00197']
missions;['00203', '00203']
mist;['00090 ', '00090 ', '00129 ', '00326', '00438 ']
mistake;['00352']
mists;['00090 ']
misunderstood;['00105 ']
misuses;['00203']
mitochondria;['01185 ', '01193 ']
mitochondrial;['01185 ', '01185 ', '01185 ', '01185 ']
mitogen;['01044 ', '01044 ']
mitogens;['01044 ', '01044 ', '01044 ', '01044 ', '01044 ']
mixed;['00019 ', '00445 ', '00518 ', '01103 ']
mixture;['00185', '00208', '00615 ', '00615 ']
mixtures;['00856 ', '01146 ']
ml;['00238', '00544 ']
mmol;['00219', '00714 ', '00927 ']
mobilisation;['00397 ']
mobilized;['00165 ']
modalities;['00238']
mode;['00102 ', '00431 ', '00431 ']
model;['00067 ', '00359 ', '00431 ', '00431 ', '00431 ', '00435 ', '00442 ', '00516 ', '01001 ', '01013 ', '01156 ', '01160 ', '01167 ']
models;['00435 ', '00442 ', '00498 ', '00504 ']
moderate;['00119 ', '00147 ', '00238', '00582 ', '01099 ', '01169 ']
moderately;['00477 ', '00644 ', '00781 ']
modern;['00942 ']
modes;['00180']
modification;['00440 ', '01004 ', '01013 ', '01131 ']
modifications;['00327', '00529 ']
modified;['00434 ', '00529 ', '00529 ', '00627 ', '00726 ', '00740 ', '01220 ']
modifier;['00926 ']
modifies;['01044 ']
modifying;['00373 ']
moieties;['00445 ']
molecular;['00215', '00435 ', '00442 ', '00444 ', '00891 ', '01172 ']
molecule;['00112 ', '00142 ', '00279', '01175 ']
molecules;['00112 ', '00444 ', '00496 ']
moment;['00213']
money;['00937 ']
monitor;['00456 ', '01111 ']
monitored;['00090 ']
monitoring;['00360 ', '00450 ']
monocytes;['01211 ']
monograph;['00060 ']
monomeric;['00162 ']
mononuclear;['00397 ']
monophosphate;['01157 ']
monospecific;['01236 ']
monovalent;['00441 ']
monozygotic;['00756 ']
month;['00262', '00377 ', '00468 ', '00628 ', '00781 ', '00979 ', '01098 ']
monthly;['00879 ']
months;['00030 ', '00219', '00219', '00220', '00923 ', '01128 ']
morbid;['01004 ']
morbidity;['00067 ', '00185', '00545 ', '00879 ', '00902 ']
more;['00018 ', '00018 ', '00077 ', '00077 ', '00083 ', '00090 ', '00095 ', '00098 ', '00102 ', '00115 ', '00119 ', '00120 ', '00120 ', '00136 ', '00147 ', '00153 ', '00180', '00180', '00185', '00208', '00215', '00217', '00238', '00238', '00242', '00244', '00244', '00244', '00244', '00244', '00244', '00244', '00268', '00277', '00279', '00279', '00280', '00285', '00287', '00287', '00297', '00297', '00299', '00315', '00315', '00315', '00315', '00331', '00331', '00332', '00332', '00437 ', '00440 ', '00441 ', '00449 ', '00450 ', '00451 ', '00451 ', '00451 ', '00483 ', '00485 ', '00485 ', '00495 ', '00495 ', '00505 ', '00559 ', '00593 ', '00596 ', '00607 ', '00617 ', '00670 ', '00692 ', '00704 ', '00716 ', '00719 ', '00732 ', '00740 ', '00767 ', '00768 ', '00791 ', '00810 ', '00835 ', '00835 ', '00838 ', '00846 ', '00897 ', '00898 ', '00923 ', '00925 ', '00927 ', '00930 ', '00930 ', '00949 ', '00990 ', '01065 ', '01070 ', '01096 ', '01103 ', '01105 ', '01130 ', '01134 ', '01146 ', '01155 ', '01157 ', '01162 ', '01173 ', '01178 ', '01185 ', '01185 ', '01219 ', '01224 ']
morphologic;['00322', '00434 ']
morphological;['00072 ', '00350', '00423 ', '00791 ']
morphologically;['01156 ']
morphology;['00504 ']
mortality;['00067 ', '00185', '00247', '00545 ', '00761 ', '00838 ', '00879 ', '00910 ', '01065 ']
mortem;['00350']
most;['00033 ', '00038 ', '00056 ', '00058 ', '00058 ', '00058 ', '00088 ', '00088 ', '00098 ', '00107 ', '00112 ', '00203', '00239', '00239', '00264', '00270', '00287', '00322', '00325', '00325', '00333', '00333', '00350', '00351', '00360 ', '00370 ', '00392 ', '00415 ', '00415 ', '00423 ', '00431 ', '00431 ', '00438 ', '00452 ', '00485 ', '00487 ', '00501 ', '00505 ', '00505 ', '00510 ', '00511 ', '00559 ', '00582 ', '00590 ', '00601 ', '00605 ', '00627 ', '00643 ', '00643 ', '00694 ', '00716 ', '00719 ', '00736 ', '00736 ', '00752 ', '00761 ', '00767 ', '00822 ', '00824 ', '00824 ', '00844 ', '00875 ', '00875 ', '00881 ', '00882 ', '00902 ', '00911 ', '00915 ', '00923 ', '00936 ', '00941 ', '00942 ', '00944 ', '00949 ', '00949 ', '00985 ', '00990 ', '01079 ', '01091 ', '01106 ', '01122 ', '01129 ', '01140 ', '01156 ', '01166 ', '01174 ', '01179 ', '01182 ', '01186 ', '01188 ']
mostly;['00037 ']
mother;['00037 ', '00071 ', '00189', '00485 ', '00687 ', '00687 ', '00714 ', '00938 ', '00941 ', '01098 ']
mothers;['00107 ', '00285', '00714 ', '00936 ']
motile;['01079 ']
motility;['00501 ']
motion;['00201', '00511 ']
motions;['00101 ']
motor;['00586 ', '00596 ', '00596 ']
mouse;['01226 ', '01226 ']
movement;['00325', '00832 ', '00832 ']
movements;['00719 ']
moving;['00931 ']
much;['00063 ', '00083 ', '00090 ', '00104 ', '00147 ', '00270', '00370 ', '00377 ', '00507 ', '00627 ', '00714 ', '00761 ', '00767 ', '00811 ', '00811 ', '00811 ', '00824 ', '00844 ', '00875 ', '00937 ', '00954 ', '01036 ', '01129 ', '01136 ', '01140 ']
mucin;['00496 ']
mucins;['00496 ', '00496 ', '00496 ', '00496 ', '00496 ', '00496 ', '00496 ', '00496 ']
mucociliary;['00196', '00196', '00370 ', '00437 ', '00437 ', '00484 ', '00490 ', '00501 ', '00501 ', '00502 ', '00502 ', '00502 ', '00502 ', '00511 ', '00511 ', '00511 ', '00570 ', '00570 ', '00605 ', '00605 ', '00605 ', '01236 ']
mucodiscoidosis;['00620 ']
mucoid;['00441 ', '00451 ', '00451 ', '00451 ', '00451 ', '00451 ', '00451 ', '00451 ', '00451 ', '00556 ', '01171 ']
mucolytic;['00542 ', '00542 ', '00592 ']
mucolytics;['00326']
mucopolysaccharide;['00014 ', '00121 ', '00615 ']
mucopolysaccharides;['00121 ', '00121 ', '00121 ', '00615 ', '00615 ']
mucopolysaccharidoses;['00072 ', '00121 ']
mucopolysaccharidosis;['00545 ', '00615 ', '00615 ']
mucoprotein;['00798 ']
mucosa;['00077 ', '00077 ', '00173', '00173', '00173', '00196', '00219', '00325', '00438 ', '00605 ', '01167 ', '01167 ']
mucosal;['00325', '00333', '00643 ', '00755 ', '00755 ', '00755 ', '00925 ', '01169 ', '01173 ']
mucotractive;['00925 ']
mucous;['00095 ', '00095 ', '00439 ', '00439 ', '00439 ', '00439 ', '00439 ', '00439 ', '00439 ', '00439 ', '00439 ', '00441 ', '00490 ', '00497 ', '00497 ', '00500 ', '00500 ', '00505 ', '00505 ', '00875 ', '00875 ', '00875 ', '00875 ', '01156 ', '01175 ', '01175 ']
mucoviscidosis;['00056 ', '00162 ', '00162 ', '00162 ', '00162 ', '00162 ', '00343', '00627 ', '00719 ', '01028 ']
mucus;['00133 ', '00169', '00189', '00219', '00270', '00270', '00300', '00392 ', '00437 ', '00437 ', '00437 ', '00437 ', '00441 ', '00441 ', '00441 ', '00451 ', '00478 ', '00496 ', '00498 ', '00498 ', '00498 ', '00498 ', '00498 ', '00501 ', '00501 ', '00502 ', '00503 ', '00511 ', '00511 ', '00559 ', '00592 ', '00592 ', '00592 ', '00658 ', '00690 ', '00711 ', '00711 ', '00925 ', '00925 ', '00925 ', '00925 ', '00925 ', '00925 ', '00925 ', '00925 ', '01238 ', '01238 ']
multigenic;['00926 ']
multilocular;['00643 ']
multimystery;['00398 ']
multiorgan;['01175 ']
multiple;['00432 ', '00432 ', '00442 ', '00508 ', '00643 ', '00724 ', '00872 ', '00882 ', '01088 ', '01093 ']
multisystemic;['01093 ', '01093 ']
multivalent;['00164 ']
muscle;['00030 ', '00030 ', '00030 ', '00030 ', '00615 ']
muscular;['00030 ', '00030 ', '00030 ', '00296']
mussel;['00201', '00201', '00281']
must;['00017 ', '00056 ', '00076 ', '00104 ', '00120 ', '00135 ', '00136 ', '00169', '00213', '00215', '00239', '00287', '00299', '00299', '00330', '00350', '00397 ', '00436 ', '00450 ', '00450 ', '00452 ', '00452 ', '00489 ', '00596 ', '00617 ', '00627 ', '00658 ', '00844 ', '00846 ', '00875 ', '00882 ', '00882 ', '00940 ', '01105 ', '01183 ', '01183 ', '01218 ']
mutant;['00072 ', '00215', '00570 ', '00570 ', '01160 ']
mutation;['00104 ', '00215', '00617 ', '01139 ']
mutations;['00215', '00215', '00215', '00215', '00891 ']
mval;['00542 ']
my;['00105 ', '00759 ', '00759 ', '01129 ']
myocardial;['00615 ', '01041 ', '01177 ']
myocardium;['00615 ', '00615 ', '00615 ']
myotonia;['00197']
mysterious;['00333']
nails;['01193 ']
name;['00359 ']
namely;['01172 ']
narrowing;['00056 ', '00060 ', '00060 ']
nasal;['00058 ', '00058 ', '00058 ', '00196', '00196', '00333', '00398 ', '00435 ', '00501 ', '00511 ', '00732 ', '00732 ', '00732 ', '00732 ', '00732 ', '00732 ']
nasopharynx;['00511 ']
nationally;['00120 ']
native;['00503 ']
natural;['00153 ', '00359 ', '00517 ', '00517 ', '01146 ']
nature;['00046 ', '00076 ', '00126 ', '00163 ', '00215', '00283', '00333', '00432 ', '00440 ', '00484 ', '00498 ', '00498 ', '00694 ', '00716 ', '00726 ', '00936 ', '00949 ', '01193 ']
nausea;['00101 ', '00962 ']
near;['00084 ', '00206', '00441 ']
nearly;['00038 ', '00129 ', '00322', '00332', '00377 ', '00432 ', '01172 ']
necessarily;['00076 ', '00206', '00350', '00370 ', '00484 ', '00693 ', '01134 ']
necessary;['00076 ', '00327', '00343', '00373 ', '00450 ', '00451 ', '00487 ', '00502 ', '00502 ', '00628 ', '00844 ', '01155 ']
necessitate;['00559 ']
necessitates;['00142 ']
necessity;['00377 ', '00395 ']
necropsies;['00350']
necropsy;['00091 ']
necrosis;['01184 ', '01184 ']
need;['00164 ', '00201', '00220', '00270', '00286', '00315', '00395 ', '00586 ', '00596 ', '00628 ', '00801 ', '00818 ', '01036 ', '01037 ', '01088 ', '01138 ', '01153 ']
needed;['00135 ', '00169', '00278', '00440 ', '00607 ', '00693 ', '00730 ', '00810 ', '00811 ', '00843 ', '00944 ', '00962 ', '01033 ', '01072 ', '01130 ', '01153 ']
needing;['00489 ']
needle;['00146 ', '00363 ']
needs;['00105 ', '00136 ', '00136 ', '00169', '00220', '00327', '00370 ', '00875 ', '00930 ']
negative;['00094 ', '00110 ', '00135 ', '00164 ', '00164 ', '00270', '00270', '00326', '00326', '00465 ', '00482 ', '00483 ', '00483 ', '00483 ', '00483 ', '00492 ', '00508 ', '00534 ', '00697 ', '00697 ', '00797 ', '00797 ', '00818 ', '00818 ', '00930 ', '01028 ', '01065 ', '01065 ', '01167 ', '01174 ']
negatively;['00415 ']
negatives;['00111 ']
neglect;['01022 ', '01036 ']
neglected;['01022 ', '01036 ']
neglects;['00019 ']
negligible;['01180 ']
neither;['00534 ', '00773 ', '01157 ']
neonatal;['00333', '00333', '00377 ', '00465 ', '00627 ', '00649 ', '00690 ', '00690 ', '00798 ', '00801 ', '00838 ', '01234 ']
neonate;['00237', '00649 ', '00791 ', '00991 ']
neonates;['00697 ']
neoplasm;['00762 ']
neoplastic;['00620 ']
nephrocalcinosis;['00322']
nephrotic;['00836 ', '00836 ']
nerve;['00115 ', '00115 ', '00250', '00267', '00267', '00468 ']
nervosa;['00272', '00762 ', '00762 ']
nervous;['00180', '00180', '00360 ', '00498 ', '00505 ', '01156 ', '01157 ']
net;['00484 ', '00689 ', '01167 ', '01172 ']
neural;['00360 ', '01031 ']
neuritis;['00648 ', '00648 ']
neurologic;['00016 ', '00468 ']
neurotransmitters;['01157 ']
neutral;['00615 ', '00615 ']
neutralize;['00511 ']
neutropenia;['00643 ']
never;['00112 ', '00322', '00326', '00801 ', '00846 ', '01179 ']
nevertheless;['00084 ', '00112 ']
new;['00014 ', '00077 ', '00120 ', '00215', '00270', '00277', '00289', '00293', '00538 ', '00592 ', '00767 ', '00808 ', '00879 ', '00929 ', '00930 ', '00930 ', '01044 ', '01093 ', '01160 ', '01182 ', '01226 ']
newborn;['00071 ', '00071 ', '00105 ', '00247', '00333', '00373 ', '00465 ', '00482 ', '00491 ', '00492 ', '00518 ', '00627 ', '00644 ', '00697 ', '00798 ', '00818 ', '00835 ', '00898 ', '01028 ', '01117 ', '01117 ', '01117 ', '01128 ', '01174 ', '01188 ']
newborns;['00071 ', '00491 ', '00835 ', '00930 ', '01178 ']
newer;['00360 ']
newly;['00752 ', '00752 ', '01031 ']
next;['00111 ', '00360 ']
nine;['00503 ', '00931 ', '00931 ', '01180 ', '01184 ', '01210 ']
nitroblue;['00111 ']
nitrogen;['00301', '00443 ']
no;['00017 ', '00019 ', '00030 ', '00071 ', '00076 ', '00090 ', '00091 ', '00096 ', '00102 ', '00102 ', '00104 ', '00106 ', '00111 ', '00115 ', '00118 ', '00125 ', '00147 ', '00154 ', '00185', '00196', '00201', '00212', '00238', '00242', '00242', '00244', '00244', '00250', '00278', '00280', '00280', '00281', '00283', '00285', '00286', '00287', '00288', '00291', '00294', '00296', '00325', '00370 ', '00397 ', '00436 ', '00452 ', '00470 ', '00503 ', '00503 ', '00503 ', '00529 ', '00542 ', '00542 ', '00627 ', '00644 ', '00658 ', '00689 ', '00691 ', '00691 ', '00740 ', '00767 ', '00768 ', '00808 ', '00810 ', '00818 ', '00824 ', '00824 ', '00895 ', '00910 ', '00915 ', '00931 ', '00942 ', '00979 ', '01066 ', '01066 ', '01068 ', '01097 ', '01098 ', '01117 ', '01127 ', '01129 ', '01129 ', '01131 ', '01134 ', '01137 ', '01148 ', '01156 ', '01156 ', '01159 ', '01162 ', '01163 ', '01165 ', '01165 ', '01168 ', '01178 ', '01182 ', '01183 ', '01238 ']
nocturnal;['01037 ', '01037 ']
